dish_name,prefecture,area_name,main_ingredients,history,image_url,type,seasonality,calories,protein,carbohydrates,fats,sodium,vegan,vegetarian,no_gluten,no_seafood,no_pork,no_dairy,no_nuts,area_lat,area_lon,places
Nishin to Takenoko no Nitsuke (Simmered Herring and Bamboo Shoots),Tochigi,All of Tochigi prefecture,"“Migaki nishin” (=dried herring), Bamboo shoots","“Nishin to takenoko no nitsuke” is a dish made with dried herring and bamboo shoots simmered in a sweet and savory sauce. Tochigi prefecture is located inland, and local people were not able to enjoy fresh fish until refrigerators were introduced. “Migaki nishin” is dried herring with the entrails and head of the fish removed. It was an important source of protein in the days that fresh fish were hard to come by because it could be preserved. Another name for “Nishin to takenoko no nitsuke” is “ta-ue nishin” (=rice planting herring) as simmered herring was served at the start of the rice planting season and after. The herring goes well with bamboo shoots and this dish is now enjoyed as an everyday dish as it tastes delicious with rice.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2024/01/tochigi_20_1.jpeg,fish dish,spring,97.5,7.25,15.0,0.75,1.0,False,False,False,False,True,True,True,36.671473899999995,139.8547266,[]
Sumitsukare,Gunma,Tomo,"Radish, salmon, soybean, and sake lees","Also called “shimotsukare,” “sumitsukari,” and “shimitsukare,” this is a dish made by simmering leftovers from celebratory feasts, such as salmon head eaten during the New Year and beans left over from ""Setsubun"". In addition, leftover vegetables such as radishes and carrots that were harvested the previous year and are past their ripeness are often added. In addition to Gunma, it is an event food that is popular mainly in the northern Kanto region, such as Tochigi and Ibaraki. ""Sumitsukare"" is said to have its origins in the Edo period and was once offered on a plate with ""sekihan"" at an ""Inari Shrine"" on Hatsuuma, the first day of the horse in February. It is said that in addition to being served on a plate, the plate was sometimes placed on tied straw and served as a “warabocchi.”",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2023/10/gunma_13_1-1.jpg,fish dish,all season,642.0,40.0,59.0,20.0,5.0,False,False,False,False,True,True,True,36.5051871,139.00152409999998,"['ChIJZ_h8CBdtHmAR4bcOHQ9LNgk', 'ChIJrXlzX3QLHmARwtt3Wg2AElg', 'ChIJtVM3GVXmHWARIF_lzsQfQuk', 'ChIJ3Zb6swyQHmARmALIsJRFKkM', 'ChIJl9PBGg4LHmARO8E5U1CXDcI']"
Mayudama(Cocoon Balls),Gunma,Entire Prefecture,"Ingredients like rice flour, millet flour, or corn flour","Mayudama (Cocoon Balls) reflect Gunma’s deep ties to sericulture. The prefecture has long promoted silk through original silkworm breeds and even experimental silkworms, elevating cocoons to a valued resource. Cocoon balls are event foods made from rolled flour blends, including millet and corn (and rice) flour, and are traditionally served as offerings rather than for immediate consumption. A notable custom occurs on January 13, two days before the Little New Year: cocoon balls made with millet flour are attached to mulberry branches, forming flower-like ornaments. In Agatsuma County, the Hatsuuma festival (the first day of the ox in February) is a day of harvest abundance, when 16 cocoon balls are prepared and offered to shrines and wells. Together, these practices vividly show the community’s reverence for cocoons as the backbone of sericulture.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2023/08/gunma_9_1-1.jpg,sweets,all season,457.5,8.0,100.0,0.5,0.0,True,True,True,True,True,True,True,36.560538799999996,138.8799972,['ChIJrXlzX3QLHmARwtt3Wg2AElg']
Zakuni,Gunma,Takasaki City,"Konjac(=yam cake), Root vegetables, Surume (=Dried squid), etc.","In Gunma, there is a custom of eating ""Kenchin Jiru"" during such events as ""Ebisu-ko in autumn"", ""New Year's Ebisu-ko (Spring Ebisu-ko)"", and ""Setsubun (the first day of spring)"". A local dish similar to ""Kenchin Jiru"" and handed down in Takasaki City is ""Zakuni"". Like ""Kenchin Jiru"", it is generally eaten on celebratory occasions, but it is especially unique in that it is made on special occasions by chopping the ingredients into small pieces. In addition, while ""Kenchin Jiru"" is characterized by the fact that the ingredients are first sauteed in a large amount of oil, “Zakuni"" does not use oil and uses ""Surume (=Dried squid)"", which is not added in ""Kenchin Jiru"", as a ""Dashi (=Japanese soup stock)"". It has a long history and is said to have been made for at least 60 years.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2023/12/gunma_14_1-1.jpg,vegetable,all season,1162.0,31.0,249.0,3.0,3.0,False,False,False,False,True,True,True,36.3220692,139.0033576,['ChIJFRgmcJuIHmARUb-WsHiMau0']
Yatsugashira-no-itameni (Stir fried Taro Stalk),Saitama,All of Saitama prefecture,Yatsugashira (=Japanese taro stalk),"Yatsugashira-no-itameni (Stir-fried Taro Stems) uses the stems of satoimo (Japanese taro), especially the Yatsugashira variety, historically preserved as imogara. In times of scarcity, these stems were boiled with rice or simmered in dishes, and regarded as beneficial for women’s health, nicknamed the “medicine for the blood path.” Harvested in autumn, the stems were peeled, dried in sunny, windy weather, and stored in 3–4 cm pieces to last a year; they were rehydrated before use. Today, yatsugashira stems are hard to find, but Saitama Prefecture remains a leading producer, with round-type yatsugashira grown notably in Fukaya City and Sugito town. Stir-fried Yatsugashira Taro Stems is a well-seasoned dish that pairs well with rice and serves as a flavorful accompaniment for drinks.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2024/01/saitama_22_1.jpeg,vegetable,all season,365.0,3.25,25.0,20.75,1.75,True,True,False,True,True,True,True,35.9962513,139.4466005,['ChIJ03pDJDWXGGAR0PIL_Lq1K60']
Konjac(=yam cake) no Miso Oden,Saitama,Yoriimachi Fuppu District Chichibu Area,Konjac(=yam cake),"Konjac potatoes have long been grown in the Fuppu district of Yorii Town and the Chichibu area, and konjac is one of the specialties of the area. While most commercial products are made from Konjac potato powder, farmers in this area make konjac by hand using raw konjac potatoes. The flavor and texture of raw konjac has a unique and delicious taste. Handmade konjac is usually available from fall to winter, when raw konjac potatoes can be harvested.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2023/12/saitama_15_1.jpeg,soup,winter,215.0,3.0,45.0,3.25,1.5,True,True,False,True,True,True,True,36.1184155,139.1929538,"['ChIJf6KBz022HmARJG5NHXmlQFs', 'ChIJU2BQOMu3HmAR3LNt5HW_yZU']"
Yuzu Maki (yuzu fruit Roll),Saitama,"Chichibu Area, Ogose Town, Moroyama Town",yuzu fruit,"In Saitama Prefecture, where yuzu fruit has long been cultivated, especially in Ogose-machi, Iruma-gun, there are many local dishes using yuzu fruit. Among them, ""Yuzu Maki"" is a pickle that is loved as a New Year's dish while having an aspect of winter preservation food.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2023/11/saitama_17_1-1.jpg,pickles,winter,61.25,0.25,15.0,0.0,0.25,True,True,True,True,True,True,True,35.9467023,139.3299693,[]
Boiled Peanuts,Chiba,"Throughout the prefecture (Chiba, Yachimata, Tomisato, Sodegaura etc",Peanuts,"Boiled peanuts are a seasonal specialty in Japan, made from freshly harvested peanuts grown in peanut-producing regions, especially Chiba. Peanuts originated in the Andes and reached Japan in 1706 via East Asia; they were first cultivated in Okinawa, with broader production emerging in the Meiji era. Today, major producers include Chiba, Ibaraki, Kanagawa, Kagoshima, Tochigi, Nagasaki and Shizuoka, with Chiba alone supplying over 70% of Japan’s output thanks to well-drained volcanic-ash soil (Kanto loam) in the Shimosa Plateau and near Mt. Fuji/Hakone. In Chiba, cultivation began in 1876 on the Kujukuri Plain near Nango (Sanbu). After government encouragement, areas spread, though early varieties were drought-prone; drought-resistant strains from China boosted production in the Taisho era (1912–1926). Boiled peanuts require fresh harvests, as freshly dug peanuts quickly harden and lose flavor if not boiled promptly.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2023/08/chiba_7_1-1.jpg,vegetable,all season,17.5,0.75,0.5,1.5,0.5,True,True,True,True,True,True,False,35.6050793,140.123328,"['ChIJjR7eiXiAGGARc2BNLN-ddpo', 'ChIJNQKYUaXDImAR9ufKRySm5mw', 'ChIJFUcTnrMMGGARJEIHdmaVbJY']"
Toridose (Chicken Porridge),Chiba,Ichihara City,"Rice, Chicken, Gobou(=Burdock root)","""Toridose"" or Chicken porridge is a regional dish commonly consumed during special occasions such as New Year's, weddings, funerals, and community gatherings or festivals. In the past, as many households used to raise chickens, it was not only enjoyed during festive occasions but also served as a regular home-cooked meal. Additionally, ""Toridose"" is sometimes referred to in dialect as ""Toddose,"" with a variation in pronunciation. ""Toridose"" is made by chopping the bones well and mixing them into chicken balls. It is an ingenious way to eat food without wasting it.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2024/02/chiba_28_1-1.jpg,soup,all season,3717.0,235.0,538.0,49.0,7.0,False,False,False,False,True,True,True,35.4978821,140.1148672,[]
Sumitsukare (Simmered Daikon Radish with Soy Beans),Chiba,Higashi Katsushika area,"Daikon radish, Carrot, Soybeans, Fried thin tofu, Tofu, Sake-kasu (sake lees)","Sumitsukare (Simmered Daikon Radish with Soy Beans) is a Setsubun dish made by cooking grated daikon radish and carrot with soybeans and sake lees, served with azuki beans and rice to Inari-sama on Hatsuuma, the first horse day of February. It is eaten in Chiba and nearby prefectures, including Ibaraki, Tochigi, and Saitama, and is known by regional variants such as Sumitsukare, Shimotsukare, and Somotsukare. The dish is believed to have spread from Tochigi Edo-period traditions to Higashi-katsushika in Chiba, with mentions in the Kamakura-era Uji Shui Monogatari. Etymology varies: Shimotsukare may reflect family customs in Shimotsuke-no-kuni, while Sumitsukare may derive from a vinegared preparation. Setsubun divides the seasons (before spring, summer, autumn, and winter); in lunar years it fell on New Year’s Eve, when bean-throwing (to ward off evil) and other charms, such as sardine heads on mamegara and holly, were used to welcome health.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2024/01/chiba_21_1.jpeg,vegetable,all season,529.0,30.0,43.0,19.0,7.0,True,True,False,True,True,True,True,35.774306599999996,139.8777675,[]
Udo no Sumiso Ae,Tokyo,Kita-Tama Area,"""Udo"" (=Aralia cordata)","Udo no Sumiso Ae (Udo with vinegared miso) is a traditional Japanese dish featuring udo, a vegetable native to Japan and a classic Edo Tokyo ingredient. Udo is grown in a deep underground pit called a muro (3–4 meters) where darkness yields a soft, white fiber with little bitterness, giving the plant its distinctive texture and flavor. The muro entrance is small, making harvesting labor-intensive. Udo cultivation began in the late Edo period (1830s) around Musashino Hachimangu Shrine, in the former Kichijoji village of Bushu-Tama County; the region’s Kanto Loam, along with favorable temperatures and humidity, supported thriving agriculture. Since 1948, researchers developed a cellar-based softening method for udo, which has since spread to Kita-Tama, enriching this Edo-style produce used in Sumiso Ae.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2024/02/tokyo_30_1-1.jpg,vegetable,spring,60.5,2.5,9.0,1.5,1.0,True,True,False,True,True,True,True,35.63711,139.4465075,[]
Noshikomi Udon,Tokyo,Okutama Area and wider Area,"Wheat flour, dried sardines, shiitake mushrooms, green onions, carrots, fried thin tofu, chikuwa(=fish cake), soy sauce, sake, salt","Noshikomi udon is a hearty Okutama dish of wide, freshly pounded udon simmered in a niboshi (dried sardine) and shiitake stock, seasoned with sake, salt, and soy sauce, and finished with firm noodles, green onions, and abura-age. Historically, during the Edo period, Okutama was mountainous and forested, unsuitable for rice; wheat and buckwheat shaped a local udon culture. The mountains’ cold winters made a quick, warming meal essential for workers returning home, so noshikomi udon became a household staple. The name stems from ""noshikomi"" meaning ""stretching and spreading"" the noodles after pounding; some call it ""zuridashi udon"" for slipping the noodles from the pot. The dish features wide noodles akin to Hoto (Yamanashi) and is served hot with seasonal vegetables, whose sweetness warms body and soul. Until ~1975, venison/boar or home-slaughtered chicken were occasionally added.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2023/11/tokyo_16_1.jpeg,noodle dish,all season,380.0,12.0,76.0,1.8,1.8,False,False,False,False,True,True,True,35.8095021,139.09605919999998,"['ChIJOVDC7GI6GWARLD9dDBypDeU', 'ChIJ10jHBskwGWARQZeMVjGt2r4', 'ChIJq3Vfaho3GWARCVslJPpBQpc', 'ChIJP9YlUsgwGWAR13KKalMPzT8', 'ChIJV2IVp5w6GWARKdQwK_H6gBo']"
Tsukuda-ni,Tokyo,All of Tokyo Prefecture,"White Fish, ""Nori""(=seaweed), Small Shrimp, Shellfish, etc.","Tsukuda-ni, or tsukudani, is a traditional preserved-food dish from Tokyo. It dates to the Edo period (1603–1868) and derives its name from Tsukuda Island, at the mouth of the Sumida River, where Tokugawa Ieyasu relocated fishermen and made the area a fishing hub. Fish and other ingredients are simmered in thick, long-lasting seasonings—typically tamari soy sauce from Kishu, plus mirin, sugar and starch syrup—until the mixture becomes a sweet-savory glaze that preserves the morsels. Tsukudani is a standard topping for Ocha-zuke and onigiri, and can be made from seafood such as white fish, seaweed, kelp, shrimp, and clams, as well as from agricultural products. Some regional varieties even use locusts or bee larvae. The result is a flavorful, pantry-friendly accompaniment that pairs well with white rice and remains popular across Japan.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2024/02/tokyo_25_1-1.jpg,fish dish,all season,117.75,6.75,18.0,0.25,1.0,False,False,False,False,True,True,True,35.6764225,139.650027,['ChIJEa7iuW-JGGARTohiUhxwS9o']
Ishigaki Dango (Sweet Potato Mochi Ball),Kanagawa,Sagamihara City,"Jigona (Udon Flower), Sweet Potatoes","This is a local dish in the Sagamihara region, a steamed bun made by mixing local flour and sweet potatoes. It offers a simple taste that highlights the natural sweetness of the ingredients. The Sagamihara plateau, covered with volcanic ash and poor in nutrients, has been a place where barley and sweet potatoes are widely cultivated. Therefore, local people have been familiar with local flour and sweet potatoes as common ingredients. Originally, this snack eaten during breaks from farming activities was called ""okojÅ«"" (little daytime snack). The Ishigaki Dango, including the simple and affordable enjoyment of local ingredients, became a popular okojÅ«. The name ""Ishigaki Dango"" comes from the many stone walls in the surrounding area, and the diced sweet potatoes resemble stones on the wall.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2023/11/kanagawa_18_1-1.jpg,sweets,all season,1052.0,27.0,226.0,3.0,2.0,True,True,False,True,True,True,True,35.5712568,139.373427,[]
Wariboshidaikon no Harihari-zuke,Kanagawa,Miura City,Daikon radish,"Wariboshidaikon no Harihari-zuke is a local dish of Miura City on the Miura Peninsula. It uses wariboshi-daikon—split-dried, thicker than kiriboshi-daikon—marinated in soy sauce, dashi, or other seasonings for a crispy texture. Miura is Japan’s largest daikon producer and its crop is a designated national product; the region’s sea-side climate supports year-round cultivation. Daikon has deep roots here, with Edo-period cultivation and, in the late Meiji period, Miura daikon formed by crossing Miura stock with Tokyo’s Nerima daikon. From 1925 it was shipped to Tokyo and known nationwide. After a 1975 typhoon destroyed the Miura daikon crop, green-necked daikon rose to predominance, though Miura daikon remains popular and is sold mainly at direct sales outlets. Harihari-zuke preserves a traditional Miura method of using split-dried daikon and is prized for its crisp texture.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2023/11/kanagawa_14_1.jpeg,pickles,all season,140.0,4.5,28.5,0.25,1.0,False,False,False,False,True,True,True,35.1441972,139.6207584,"['ChIJ1XmcuS08GGARRu_RsdLdvV0', 'ChIJq176uo88GGARw68q2RNpEwQ', 'ChIJW0ZMroU8GGAR8TOQYZVOwes', 'ChIJ1YXIurQ9GGARvm4e7YzCJuU', 'ChIJz9Tl35w8GGARpyrAvxjduGU']"
Fukashi Nasu (steamed eggplant),Niigata,All of Niigata Prefecture,Eggplant,"Fukashi Nasu (steamed eggplant) is a Niigata Prefecture specialty; Niigata is Japan’s largest eggplant consumer and has the nation’s largest eggplant acreage (2019). The dish is sometimes called Nasu Bukashi. In Niigata style, steamed eggplants are chilled and served with soy sauce mixed with Japanese mustard, and it is also enjoyed by tearing off pieces to dip in ginger soy sauce or ponzu. Niigata grows more than 18 eggplant varieties with different cooking uses. The best for fukashi-nasu is Kinchaku-Nasu, a round, flesh-centered type; particularly prized are Kinchaku-Nasu from Nagaoka (Nakajima/Nagaoka Kinchaku). Steaming yields sweet, tender eggplant, unlike the tougher texture of stewed or baked versions.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2024/02/niigata_22_1-1.jpg,vegetable,summer,21.0,1.0,4.75,0.25,0.25,True,True,False,True,True,True,True,37.617838600000005,138.8269794,[]
Imo-miso,Niigata,Shimoetsu Region,"Satoimo(=Japanese taro), Miso, Yuzu","Imo-miso is a local dish from Gosen City, Niigata Prefecture, where fertile soils and abundant water support renowned vegetables like Kinu Otome taro. Gosen-shi records taro as Niigata’s largest production. Kinu Otome taro, when peeled, is pure white with a silky yet slightly slimy texture and a smooth feel, holding together well when stewed. Its name, meaning “silk maiden,” honors Gosen’s traditional silk-weaving industry. Imo-miso is a simple autumn dish made by simmering taro in soup stock with miso paste. The sticky miso clings to the taro, and when many small taro are harvested, imo-miso becomes a common family dinner staple.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2024/02/niigata_28_1-1.jpg,soup,fall,237.5,5.25,50.5,2.0,0.25,False,False,False,False,True,True,True,37.770597699999996,139.16924179999998,"['ChIJ6TfngYjJ9F8R_X4xfurFUAM', 'ChIJY1jVSCvJ9F8Rc4comBB_F7k', 'ChIJL6EXky8zi18RVk3u62pbA5M']"
Anbo,Niigata,Central Region,"Joshinko(=glutinous rice flour), Salmon, ,Pickled greens, Red bean paste","Anbo is a steamed bun with kneaded dough and a filling that usually features azuki red bean paste or miso-seasoned daikon leaves, and can also be wrapped around nozawana pickles, eggplant, or dried daikon. It is a local dish of Niigata and northern Nagano prefectures, and is sometimes called ""anbu."" Its exterior resembles Nagano’s oyaki, but the skin is made from rice flour instead of wheat flour. This difference stems from regional agriculture: in Nagano’s mountains, wheat was more common, while Niigata used rice flour because rice was abundant. In coastal areas, fish fillings occur. Historically, anbo was roasted in the ashes of an irori or baked over a wire net, a way to use rice scraps and serve as a staple, snack, and winter preservation food.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2024/02/niigata_26_2.jpg,fish dish,all season,1618.0,41.0,330.0,15.0,1.0,False,False,True,False,True,True,True,37.517838600000005,138.9269794,[]
Genge no Misoshiru (Genge Miso soup),Toyama,"Toyama City, Imizu City, Uozu City","Genge (deep-sea fish), Green onion","Genge no misoshiru is miso soup made with genge, a long, slender deep-sea fish about 20 cm long, white and transparent, its body coated with a thick gelatinous layer. Historically it was eaten only in the homes of fishing villages because its high water content caused rapid spoilage and a fishy odor. In Toyama, firefly squid, white shrimp, yellowtail, and crabs are well-known, but genge has attracted attention in recent years for its rich collagen and tasty flesh. About 30 years ago it was regarded as grotesque and lowly; now it is increasingly appreciated. There is no specialized fishery for genge, so it remains rare and almost mythic, often labeled simply as ""genge."" It is prepared in a variety of ways, including miso soup, which harnesses its umami that once belonged only to limited regions.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2024/02/toyama_27_2.jpg,soup,all season,32.333333333333336,1.6666666666666667,3.6666666666666665,0.0,1.0,False,False,False,False,True,True,True,36.730638899999995,137.0755452,"['ChIJ97THYEyb918RTPsJhgtSDwg', 'ChIJS82zgbaE918RADVIOnIqDfs']"
Itokoni / Nizai,Toyama,Toyama Prefecture,"Azuki beans, burdock root, daikon radish,carrot, taro, konnyaku, and deep-fried tofu.","Itokoni, also known as Nizai in parts of eastern Japan, is a Toyama/Shinshu tradition prepared for Hoonko, the memorial day for Shinran Shonin, founder of Jodo Shinshu. The stew braises root vegetables—burdock, daikon, carrots, taro—with red azuki beans, believed to be Shinran Shonin’s favorites. Rich in nutrients, it suits fall and winter. The name Itokoni literally means “cousin stew.” Two origins: first, the roots are similar in size and texture like cousins; second, vegetables are added gradually from hardest to soft, a cadence echoed by the Japanese oi (nephew). A Buddhist-derived theory links the name to itoku, meaning to benefit from an ancestor’s virtue. Regional variations exist, including miso or soy sauce, but red azuki beans are constant. In eastern Tochigi (e.g., Kurobe City), vegetables are called nizai or boiled greens and are cut slightly larger.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2023/08/toyama_6_1-1.jpg,soup,winter,152.5,6.0,21.0,5.25,0.5,False,False,False,False,True,True,True,36.595822299999996,137.3137211,['ChIJlRPiErEd-F8Ron9vOrh2lUc']
Zoni,Toyama,All of Toyama Prefecture,"Eastern Toyama / Mochi rice cakes, Fish (fukuragi yellowtail, threadsail filefish etc.), Vegetables, Fish cakeWestern Toyama / Mochi rice cakes, Japanese leek, Fish paste","Zoni in Toyama Prefecture varies by area and reflects local customs. In Shimo-Niikawa on the eastern coast, zoni is richly loaded with ingredients that cover the rice cake, including auspicious fukuragi fish, threadsail filefish, mackerel, shrimp, vegetables, and fish cakes. In Tonami, inland to the west, the dish is simpler, with just a few components like Japanese leeks with their roots, kelp, and rice cake; the roots are believed to grant long life until gray hair. There are as many zoni as there are regions, though both eastern and western Toyama share makikamaboko (rolled fish paste). Kobu-maki kamaboko (fish paste rolled in kelp) is typical, and red and white akamaki is often used in festive dishes to evoke good fortune and a celebratory atmosphere.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2024/02/toyama_23_1-1.jpg,soup,winter,185.0,19.0,18.25,3.0,1.25,False,False,False,False,True,True,True,36.6958266,137.2137071,"['ChIJE0W4wG2R918R1fUdNadDRiQ', 'ChIJB7x2Jpru918RfX61KWNM4Kk', 'ChIJB7x2Jpru918R1KMhqz2Cs1Q', 'ChIJeT4gW5yQ918RdrL91LyNLv0', 'ChIJ4yrNS-id918R_wPnq3LCJHY']"
Hasu-mushi (Steamed lotus root),Ishikawa,Around City of Kanazawa,"Kaga lotus root, White fish, Shrimp, Eggs, etc.","Hasu-mushi, a steamed lotus-root dish, features Kaga lotus root, one of the 15 vegetables certified as Kaga Yasai by Kanazawa City. The brand emerged in the Heisei era (circa 1990); to qualify, vegetables must be grown mainly in Kanazawa and cultivated since before 1945. Kaga lotus root has roots dating to the feudal domain era, with the Kahoku Lagoon area—the Kanazawa City, Kahoku City, and Tsubata Town belt—as a major production zone. It is characterized by short joints, especially the two at the tip, yielding thick, crunchy meat. Its high starch makes it sticky when grated and earned the nickname ""rice cake lotus root."" Hasu-mushi is a steamed dish that highlights this texture by grating Kaga lotus root and mixing it with other ingredients; the tradition traces back to Meiji–Taisho periods when farmers built “lotus root palaces,” and even Tsunanori Maeda planted seeds from Mino Province at Kanazawa Castle.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2024/02/ishikawa_02_1-1.jpg,vegetable,winter,142.5,10.5,19.0,1.5,1.0,False,False,False,False,True,True,False,36.5597341,136.6520376,"['ChIJB9NLUHEz-F8RxN1gI-3bIvQ', 'ChIJz6wpoHQz-F8RNwplNS4GH_A', 'ChIJCzGWsz8z-F8Rzo_h7N4ytnI', 'ChIJPcEwmWgz-F8RvYZkubyjRjY', 'ChIJWdC022gz-F8RbWMlhOwfP_M']"
Ishiru-nabe (Ishiru Hotpot),Ishikawa,Noto Region,"Ishiru (=local fish sauce), Various seafood, Various vegetables, etc.","Ishiru-nabe is a winter hot pot built around Ishiru, a fermented fish sauce from the Noto region. Ishiru derives from uoshiru and has variants such as Ishiri or Yoshiru; origins are uncertain, but it is believed to exist since at least the 1700s, with theories tracing back to Yayoi–Kofun periods. The sauce mainly uses the internal organs of surume ika (Japanese flying squid), though some regions use other fish such as Pacific saury, round herring, mackerel, or horse mackerel. Natural salt is added, and the mixture undergoes long fermentation and aging for years. Historically, Ishiru provided umami where fish were scarce, traded for rice. Flavor is savory with aroma, and it is versatile in sashimi, dried fish, and simmered dishes. Ben-zuke, where daikon, eggplant, and turnip are pickled in Ishiru, is a famous regional dish; Ishiru is one of Japan’s Three Great Fish Sauces, alongside Shottsuru and Ikanago Shoyu.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2024/02/ishikawa_04_1-1.jpg,soup,winter,146.75,6.75,23.75,2.0,1.25,False,False,False,False,True,True,True,37.307967,137.1490082,['ChIJHY0irHMz-F8RCZ4MT9DJeYY']
Suizen,Ishikawa,Around Wajima City,"Tengusa, black sesame, brown sugar, etc.","Suizen is a traditional Wajima dish with ancient roots. It is made by boiling tengusa seaweed, adding rice flour, and letting the mixture set into a white, translucent block. Rooted in shojin ryori, it is eaten in place of sashimi and was traditionally served at memorial services and funerals, with families preparing it in advance and neighbors helping. A sesame sauce called sesame saus—made from ground black sesame, brown sugar, and soy sauce—binds the dish, and traditionally the man grinds the sesame. Each household imparts its own texture and flavor through firmness. It is plated on Wajima lacquerware, adorned with Kikusui, kinchaku, and flower wreaths, presenting a striking white piece against vermilion lacquer. Its texture differs from agar, and it carries the nutty sesame taste along with the distinct tengusa flavor.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2023/08/ishikawa_25_1-1.jpg,rice dish,winter,290.0,8.0,49.5,7.5,0.5,True,True,False,True,True,True,True,37.3910935,136.9025211,"['ChIJzaTD0m8x8V8RM2pBpQutITc', 'ChIJ96V9h4zS8F8Rj-lxYGGuXtY', 'ChIJ__8_vnTK9l8RwjJxVUPTwag']"
Hoba Meshi (Kinako Mochi Rice),Fukui,All of Fukui Prefecture,"Hoba Leaves(Magnolia Leaves), Rice, Kinako (Roasted soybean flour), Sugar","Hoba Meshi (Kinako Mochi Rice) from Fukui Prefecture centers on Satsukiage, a post-planting celebration. A hallmark treat is ho’obameshi: hot rice and sweet kinako wrapped in magnolia leaves, then pressed into a compact form. The leaves’ fragrance enhances the rice’s flavor, and the dish’s portability and easy storage made it handy for the celebration and as energy during strenuous rice planting. The kinako is said to resemble pollen on ripe rice ears and was used as a prayer for a bountiful harvest. Despite its simplicity, hobameshi holds cultural significance in local tradition. In 1986, at the Furusato Onigiri Matsuri, hosted by the Food Agency (now MAFF), it was named one of the 100 Best Hometown Rice Balls.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2023/11/fukui_18_1-1.jpg,rice dish,all season,400.0,9.125,84.125,2.0,0.0,True,True,True,True,True,True,True,35.896226999999996,136.2111579,"['ChIJ58pBR-m--F8RzkiV7IguXsg', 'ChIJE5YEe1i--F8REzr3lA-4pAI', 'ChIJqahFKO2--F8RZ7Yb1Ikqdo0', 'ChIJs9voyKmk-F8RhYo0Lt2Qj3A', 'ChIJaWgILJO--F8RsQ3ySSMB8og']"
Gojiru miso soup,Fukui,Reihoku area,"Soybeans, miso soybean paste, green onions","Gojiru miso soup is a traditional vegetarian dish served at the Hoonko memorial services for Shinran, the founder of Jodo Shinshu True Pure Land Buddhism, held from fall to the New Year. In Fukui Prefecture, the event is called Honkosan or Oko(u)sama. The soup features hot miso broth enriched with fluffy mashed soybeans, providing protein and nutrients. Soybeans are soaked overnight; the mashed beans, called go, dissolve into the miso soup to form gojiru miso soup. There are many regional and household variations: some mash rehydrated or cooked beans, others use bean flour. The dish is also known simply as go, and in Okuetsu it is called hikishiru.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2023/08/fukui_6_1-1.jpg,soup,all season,92.0,8.25,5.0,4.75,0.25,True,True,False,True,True,True,True,35.996226999999996,136.3111579,['ChIJtQ_j9GHQAWARZPAuYfmDytk']
